Section,Component,Value,Observations,Notes,Quantity,Precio unitario USD,Total,Se agrega el led de indicación y se incorpora la resistencia de filtro del ADC
Microcontroller,ESP32,-,-,NODEMCU-32S,1,5,5,
Input Network,Capacitors,150 nF,5% - 500 V,Ceramic or multilayer - 1206,1,"0,6","0,6",
,Selectors,2P2T,500 V,100DP2T1B1M2QEH (or similar),1,"0,79","0,79",
,BNC Input,BNC Hembra,-,BNC-6252H7 (or compatible BNC Female Right Angle PCB Connector),1,"1,61","1,61",
Attenuation Network,Resistors,"1,5 MΩ",5% - 1/4 W,1206,1,"0,1","0,1",
,,39 kΩ,5% - 1/4 W,,1,"0,1","0,1",
,,"1,3 MΩ",5% - 1/4 W,,2,"0,1","0,2",
,,910 kΩ,5% - 1/4 W,,2,"0,1","0,2",
,,590 kΩ,5% - 1/4 W,,1,"0,1","0,1",
,,160 kΩ,5% - 1/4 W,,1,"0,1","0,1",
,,82 kΩ,5% - 1/4 W,,1,"0,1","0,1",
,Capacitors,18 pF,5% - 25 V,Ceramic or multilayer - 1206,2,"0,2","0,4",
,,18 pF,5% - 500 V,,1,"0,27","0,27",
,,680 pF,5% - 25 V,,1,"0,2","0,2",
,,"6,8 pF",5% - 25 V,,1,"0,2","0,2",
,,1 pF,5% - 25 V,,1,"0,2","0,2",
,,82 pF,5% - 25 V,,1,"0,2","0,2",
,,220 pF,5% - 25 V,,1,"0,2","0,2",
,,47 pF,5% - 25 V,,1,"0,2","0,2",
,,Trimmer 30 pF,25 V,TSCS06-200 // GKG20015,1,1,1,
,Selectors,2P4T,25 V,SLW-2414894-6A-RA-S-D,1,"0,68","0,68",
,,2P2T,500 V,100DP2T1B1M2QEH (or similar),1,"0,79","0,79",
Amplification Network,Resistors,1 MΩ,5% - 1/4 W,1206,1,"0,1","0,1",
,,330 kΩ,5% - 1/4 W,,1,"0,1","0,1",
,,270 kΩ,5% - 1/4 W,,1,"0,1","0,1",
,,12 kΩ,5% - 1/4 W,,1,"0,1","0,1",
,Capacitors,68 pF,5% - 25 V,Ceramic or multilayer - 1206,1,"0,2","0,2",
,,1 pF,5% - 25 V,,1,"0,2","0,2",
,,100 pF,5% - 25 V,,1,"0,2","0,2",
,Operational Amplifier,TL082CP,-,DIP-8,1,"0,85","0,85",
Filter,Resistors,680 Ω,5% - 1/4 W,1206,1,"0,1","0,1",
,Capacitors,68 pF,5% - 25 V,Ceramic or multilayer - 1206,1,"0,2","0,2",
Converter,ADC,ADS7884,-,SOT-23,1,"4,85","4,85",
,Resistors,100 Ω,5% - 1/4 W,1206,1,"0,1","0,1",
,Capacitors,10 nF,5% - 25 V,Ceramic or multilayer - 1206,1,"0,2","0,2",
,,1 µF,5% - 25 V,,1,"0,2","0,2",
Comparator,Resistors,33 kΩ,5% - 1/4 W,1206,1,"0,1","0,1",
,,43 kΩ,5% - 1/4 W,,1,"0,1","0,1",
,,"1,3 MΩ",5% - 1/4 W,,1,"0,1","0,1",
,Capacitors,10 nF,5% - 25 V,Ceramic or multilayer - 1206,1,"0,2","0,2",
,Operational Amplifier,TL082CP(*),-,DIP-8,0,"0,85",0,
,Diodo,BAT54 (or BAT85),-, SOT-23-3,1,"0,14","0,14",
Calibration Signal,Resistors,15 kΩ,5% - 1/4 W,1206,1,"0,1","0,1",
,,"6,8 kΩ",5% - 1/4 W,,1,"0,1","0,1",
Connection Indicator,Resistors,270 Ω,5% - 1/4 W,,1,"0,1","0,1",
,Diode,LED,10 mA,5 mm,1,"0,29","0,29",
PCB,-,-,-,-,1,1,1,
Power Supply,Inverting Converter,LM2776,-,SOT-23,1,"0,97","0,97",
,Capacitors,"2,2 µF",5% - 25 V,Ceramic or multilayer - 1206,2,"0,2","0,4",
,,1 µF,5% - 25 V,,1,"0,2","0,2",
TOTAL con alimentación,,,,,,,#REF!,
Protecciones,Varistores,-,-,-,3,"0,25","0,75",
,Fusibles,-,-,-,3,"0,68","2,04",
TOTAL con protecciones,,,,,,,#REF!,
